K,Trajectory,Method,Metric,Value
300,0,Reference,Approximate Entropy,0.041598
300,0,Reference,Lyapunov Exponent,0.559501
300,0,Baseline,Correlation Dimension,2.027032
300,0,Baseline,Approximate Entropy,0.044210
300,0,Baseline,Lyapunov Exponent,0.525248
300,0,ANI-2,Correlation Dimension,2.008538
300,0,ANI-2,Approximate Entropy,0.044092
300,0,ANI-2,Lyapunov Exponent,0.540333
300,0,ANI-4,Correlation Dimension,2.045086
300,0,ANI-4,Approximate Entropy,0.041757
300,0,ANI-4,Lyapunov Exponent,0.552167
310,0,Reference,Correlation Dimension,2.009112
310,0,Reference,Approximate Entropy,0.041566
310,0,Reference,Lyapunov Exponent,0.591164
310,0,Baseline,Correlation Dimension,1.998967
310,0,Baseline,Approximate Entropy,0.044752
310,0,Baseline,Lyapunov Exponent,0.586563
310,0,ANI-2,Correlation Dimension,2.018125
310,0,ANI-2,Approximate Entropy,0.043223
310,0,ANI-2,Lyapunov Exponent,0.570221
310,0,ANI-4,Correlation Dimension,2.004559
310,0,ANI-4,Approximate Entropy,0.041992
310,0,ANI-4,Lyapunov Exponent,0.588509
320,0,Reference,Correlation Dimension,2.005889
320,0,Reference,Approximate Entropy,0.046656
320,0,Reference,Lyapunov Exponent,0.540912
320,0,Baseline,Correlation Dimension,1.960469
320,0,Baseline,Approximate Entropy,0.047563
320,0,Baseline,Lyapunov Exponent,0.549019
320,0,ANI-2,Correlation Dimension,1.976979
320,0,ANI-2,Approximate Entropy,0.051580
320,0,ANI-2,Lyapunov Exponent,0.530111
320,0,ANI-4,Correlation Dimension,2.000473
320,0,ANI-4,Approximate Entropy,0.045374
320,0,ANI-4,Lyapunov Exponent,0.531043
330,0,Reference,Correlation Dimension,1.989858
330,0,Reference,Approximate Entropy,0.047434
330,0,Reference,Lyapunov Exponent,0.473534
330,0,Baseline,Correlation Dimension,1.968726
330,0,Baseline,Approximate Entropy,0.048643
330,0,Baseline,Lyapunov Exponent,0.473935
330,0,ANI-2,Correlation Dimension,1.975955
